[20:16:19] [INIT] KubeJS 2001.6.5-build.24; MC 2001 forge
[20:16:19] [INIT] Loaded plugins:
[20:16:19] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[20:16:19] [INIT] - com.lowdragmc.lowdraglib.kjs.LDLibKubeJSPlugin
[20:16:19] [INIT] - su.terrafirmagreg.core.compat.kjs.TFGKubeJSPlugin
[20:16:19] [INIT] - io.github.mortuusars.exposure.forge.integration.kubejs.ExposureKubeJSPlugin
[20:16:19] [INIT] - su.terrafirmagreg.core.compat.kjs.TFGKubeJSPlugin
[20:16:19] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbquests.kubejs.KubeJSIntegration
[20:16:19] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbchunks.kubejs.FTBChunksKubeJSPlugin
[20:16:19] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[20:16:19] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbfiltersystem.kubejs.FFSKubeJSPlugin
[20:16:19] [INIT] - su.terrafirmagreg.core.compat.kjs.TFGKubeJSPlugin
[20:16:19] [INIT] - dev.aika.taczjs.forge.TaCZJSPlugin
[20:16:19] [INIT] - mod.chloeprime.aaaparticles.common.compat.kubejs.AAAParticleKubeJSPlugin
[20:16:19] [INIT] - com.rubenverg.moldraw.kubejs.MolDrawKJSPlugin
[20:16:19] [INIT] - dev.latvian.mods.kubejs.create.KubeJSCreatePlugin
[20:16:19] [INIT] - com.negodya1.kubejs.vintageimprovements.KubeJSVintagePlugin
[20:16:19] [INIT] - electrolyte.greate.compat.kubejs.KubeJSGreatePlugin
[20:16:19] [INIT] - com.almostreliable.lootjs.kube.LootJSPlugin
[20:16:19] [INIT] - com.blakebr0.cucumber.compat.kubejs.CucumberKubeJSPlugin
[20:16:19] [INIT] - com.tacz.guns.compat.kubejs.TimelessKubeJSPlugin
[20:16:19] [INIT] - dev.thomas.diggerhelmet.integration.kubejs.DiggerHelmetKubeJSPlugin
[20:16:19] [INIT] - com.gregtechceu.gtceu.integration.kjs.GregTechKubeJSPlugin
[20:16:19] [INIT] - com.gtceuterminal.integration.kjs.TerminalKubeJSPlugin
[20:16:19] [INIT] - com.notenoughmail.kubejs_tfc.KubeJSTFCPlugin
[20:16:19] [INIT] - com.notenoughmail.kubejs_tfc.addons.firmalife.FirmaLifePlugin
[20:16:19] [INIT] - com.notenoughmail.kubejs_tfc.addons.afc.AFCPlugin
[20:16:19] [INIT] - com.notenoughmail.kubejs_tfc.addons.tfccc.TFCCCPlugin
[20:16:26] [INIT] KubeJS TFC configuration:
[20:16:26] [INIT] - Debug mode enabled: false
[20:16:26] [INIT] - Self tests console insertion enabled: true
[20:16:26] [INIT] - Self tests warnings deduplicated: true
[20:16:26] [INFO] Loaded script server_scripts:tfg/natural_blocks/loot.stones.js in 0.004 s
[20:16:26] [INFO] Loaded script server_scripts:tfg/ores_and_materials/loot.ores.js in 0.003 s
[20:16:26] [INFO] Loaded script server_scripts:tfg/utility.recipes.js in 0.011 s
[20:16:26] [INFO] Loaded script server_scripts:main_server_script.js in 0.005 s
[20:16:26] [INFO] Loaded script server_scripts:tfg/aquaponics/recipes.greenhouse.js in 0.02 s
[20:16:26] [INFO] tfg/food/utility.food.js#6: Loaded Java class 'su.terrafirmagreg.core.common.tfgt.machine.trait.ISPOutputRecipeLogic'
[20:16:26] [INFO] tfg/food/utility.food.js#7: Loaded Java class 'com.gregtechceu.gtceu.api.recipe.ingredient.SizedIngredient'
[20:16:26] [INFO] Loaded script server_scripts:tfg/food/utility.food.js in 0.043 s
[20:16:26] [INFO] Loaded script server_scripts:advancedperipherals/recipes.js in 0.003 s
[20:16:26] [INFO] Loaded script server_scripts:ad_astra/data.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:ad_astra/loot.js in 0.0 s
[20:16:26] [INFO] Loaded script server_scripts:ad_astra/recipes.js in 0.005 s
[20:16:26] [INFO] Loaded script server_scripts:ad_astra/tags.js in 0.003 s
[20:16:26] [INFO] Loaded script server_scripts:ae2/recipes.js in 0.013 s
[20:16:26] [INFO] Loaded script server_scripts:ae2/tags.facades.js in 0.0 s
[20:16:26] [INFO] Loaded script server_scripts:ae2/tags.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:ae2iec/recipes.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:ae2na/recipes.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:ae2wtlib/recipes.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:afc/data.js in 0.002 s
[20:16:26] [INFO] Loaded script server_scripts:afc/recipes.js in 0.004 s
[20:16:26] [INFO] Loaded script server_scripts:afc/tags.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:alekiships/recipes.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:arthropocolypse/recipes.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:arthropocolypse/tags.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:asticor_carts/recipes.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:beneath/loot.js in 0.002 s
[20:16:26] [INFO] Loaded script server_scripts:beneath/recipes.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:beneath/tags.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:blockrunner/tags.js in 0.001 s
[20:16:26] [INFO] Loaded script server_scripts:buildinggadgets2/recipes.js in 0.002 s
[20:16:26] [INFO] Loaded script server_scripts:cccbridge/recipes.js in 0.001 s
